,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,99867.4
2024-01-25,99328.50214285713
2024-01-26,99328.50214285713
2024-01-29,99133.4539052857
2024-01-30,99062.06819099998
2024-01-31,100350.27789814284
2024-02-01,99912.8841052857
2024-02-02,99912.8841052857
2024-02-05,100141.62597671428
2024-02-06,100141.62597671428
2024-02-07,99071.02896242857
2024-02-08,99071.02896242857
2024-02-09,96630.16326242857
2024-02-12,96630.16326242857
2024-02-13,97444.17433385714
2024-02-14,97524.15433385714
2024-02-15,97524.15433385714
2024-02-16,97098.01551242857
2024-02-20,97237.28051242857
2024-02-21,97421.28051242857
2024-02-22,99268.86470528571
2024-02-23,100504.45695528571
2024-02-26,101075.09695528571
2024-02-27,101478.69666957142
2024-02-28,100948.21666957143
2024-02-29,100948.21666957143
2024-03-01,100408.26666957144
2024-03-04,100372.69328957144
2024-03-05,101846.44326814287
2024-03-06,103213.55813242859
2024-03-07,103070.84813242858
2024-03-08,103701.05263792857
2024-03-11,103746.29023792858
2024-03-12,104800.94920935716
2024-03-13,105588.19920935716
2024-03-14,104947.0886522143
2024-03-15,104216.97040935715
2024-03-18,104554.21810935714
2024-03-19,104554.21810935714
2024-03-20,104554.21810935714
2024-03-21,104968.01810935714
2024-03-22,104959.37629507144
2024-03-25,104839.43665221431
2024-03-26,105873.57845221431
2024-03-27,106365.07225935716
2024-03-28,106365.07225935716
2024-04-01,106082.27225935715
2024-04-02,106759.27911650001
2024-04-03,108295.99911650001
2024-04-04,107890.17911650002
2024-04-05,107890.17911650002
2024-04-08,107890.17911650002
2024-04-09,107890.17911650002
2024-04-10,107602.54411650001
2024-04-11,110497.26958792856
2024-04-12,110938.16798792855
2024-04-15,110803.48507364283
2024-04-16,110090.88364507142
2024-04-17,111905.37793078569
2024-04-18,111248.92536649999
2024-04-19,111248.92536649999
2024-04-22,111248.92536649999
2024-04-23,110404.13536649999
2024-04-24,111159.1609665
2024-04-25,109639.5859665
2024-04-26,108967.14310935714
2024-04-29,108866.79629150001
2024-04-30,109938.76899150002
2024-05-01,109777.58288435717
2024-05-02,112192.36913435717
2024-05-03,113188.13963435717
2024-05-06,114062.87888435717
2024-05-07,114346.74273435718
2024-05-08,115537.15965935717
2024-05-09,113383.41650221433
2024-05-10,114672.62705221432
2024-05-13,115286.96276721431
2024-05-14,116022.12137521431
2024-05-15,117319.7413752143
2024-05-16,117327.9209752143
2024-05-17,117327.9209752143
2024-05-20,117202.9165737143
2024-05-21,118015.8913737143
2024-05-22,117877.36450228574
2024-05-23,118340.29150228575
2024-05-24,118692.02950228575
2024-05-28,118692.02950228575
2024-05-29,118535.5006894286
2024-05-30,119633.39573942861
2024-05-31,120173.04518942861
2024-06-03,120200.92358942861
2024-06-04,118912.9835894286
2024-06-05,118223.7393037143
2024-06-06,116585.8058394286
2024-06-07,116279.4858394286
2024-06-10,116815.0942394286
2024-06-11,115600.44680371432
2024-06-12,117960.81050371433
2024-06-13,118316.47060371432
2024-06-14,117942.47060371432
2024-06-17,118347.77060371432
2024-06-18,118506.20110371432
2024-06-20,118561.67520371433
2024-06-21,117636.8788251429
2024-06-24,118476.07897514293
2024-06-25,118700.17897514293
2024-06-26,119249.42817514292
2024-06-27,118577.89282821436
2024-06-28,119759.81087821435
2024-07-01,119759.81087821435
2024-07-02,120346.06880821435
2024-07-03,120346.06880821435
2024-07-05,120346.06880821435
2024-07-08,122016.06487964292
2024-07-09,122419.23687964292
2024-07-10,122419.23687964292
2024-07-11,121143.28775107149
2024-07-12,121611.00275107149
