symbol,date,direction,entry_price,exit_price,qty,exit_reason,pnl,pnl_pct,hold_bars,gap_pct,vol_ratio,conviction
FCX,2024-01-24,long,39.18,38.93,510,eod,-132.6,-0.0066,381,6.49,2.39,normal
RMD,2024-01-25,long,185.88,180.85357142857143,107,stop,-538.9,-0.0271,7,10.35,2.98,normal
SOFI,2024-01-29,long,8.86,8.9440955,2802,trail,207.62,0.0084,66,15.75,6.17,high
DLTR,2024-01-29,long,136.6,133.85202857142858,146,stop,-402.66,-0.0202,78,2.82,1.85,normal
SLB,2024-01-30,short,47.04,47.16571428571428,526,stop,-71.39,-0.0029,1,-8.12,3.68,high
TER,2024-01-31,short,96.05,92.29642857142855,257,target,962.1,0.039,19,-8.7,3.77,high
EW,2024-01-31,long,75.2,76.20122142857143,329,stop,326.11,0.0132,1,5.22,3.02,high
ALGN,2024-02-01,long,309.5,294.35177857142855,81,stop,-1227.82,-0.049,41,13.35,5.9,high
CHRW,2024-02-01,short,74.52,73.07714285714285,336,target,481.44,0.0192,8,-7.81,5.97,high
AFL,2024-02-01,short,77.17,76.20928571428571,325,stop,308.98,0.0123,1,-6.48,5.59,high
EL,2024-02-05,long,150.43,148.3807142857143,166,stop,-341.84,-0.0137,55,18.89,4.06,high
ON,2024-02-05,long,75.0,77.15505,266,trail,570.58,0.0286,68,6.73,1.82,normal
SNAP,2024-02-07,short,12.17,12.037899999999999,2057,trail,251.16,0.01,59,-31.06,6.92,high
RBLX,2024-02-07,long,45.5835,43.18592857142857,549,stop,-1321.76,-0.0528,61,9.88,6.62,high
EXPE,2024-02-09,short,132.37,133.65571428571428,187,stop,-242.3,-0.0098,6,-18.1,8.62,high
AFRM,2024-02-09,short,45.4,49.386764285714285,440,stop,-1758.58,-0.088,63,-6.07,2.89,normal
MHK,2024-02-09,short,103.11,108.73232857142858,193,stop,-1087.04,-0.0546,151,-3.67,2.59,normal
DXCM,2024-02-09,short,125.0,120.94594642857143,160,target,647.05,0.0324,11,-3.19,2.09,normal
ANET,2024-02-13,short,64.91,63.94499999999999,308,trail,294.14,0.0147,54,-8.19,2.82,normal
TZA,2024-02-13,long,18.73,19.13178571428572,1067,target,418.04,0.0209,2,10.07,1.88,normal
TNA,2024-02-13,short,37.12,36.92071428571428,538,stop,101.84,0.0051,1,-9.87,1.7,normal
UPST,2024-02-14,short,28.32,28.217,860,trail,79.98,0.0033,34,-10.69,3.09,high
DASH,2024-02-16,short,116.55,116.06116428571428,209,stop,100.08,0.0041,1,-11.4,5.51,high
COIN,2024-02-16,long,191.24,178.88273571428573,104,stop,-1286.2,-0.0647,84,14.11,2.79,normal
DLR,2024-02-16,short,133.51,129.32428571428574,182,target,759.98,0.0313,34,-5.79,3.2,high
WMT,2024-02-20,long,57.75,58.162499999999994,346,target,139.26,0.007,4,4.77,4.06,normal
FTNT,2024-02-21,short,62.5,61.91499999999999,320,trail,184.0,0.0092,30,-8.66,1.64,normal
