,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,99867.4
2024-01-25,99328.50214285713
2024-01-26,99328.50214285713
2024-01-29,98336.18214285713
2024-01-30,97555.38214285712
2024-01-31,96468.08214285714
2024-02-01,94951.80214285714
2024-02-02,94951.80214285714
2024-02-05,94350.08214285714
2024-02-06,94350.08214285714
2024-02-07,92464.81214285713
2024-02-08,92464.81214285713
2024-02-09,89734.5353
2024-02-12,89734.5353
2024-02-13,90028.6753
2024-02-14,89122.4353
2024-02-15,89122.4353
2024-02-16,86924.29981428573
2024-02-20,87035.01981428573
2024-02-21,87450.96695714288
2024-02-22,88009.71025714288
2024-02-23,89469.47750714289
2024-02-26,87743.27750714289
2024-02-27,87854.20125714288
2024-02-28,87133.97411428574
2024-02-29,87133.97411428574
2024-03-01,86427.93482857147
2024-03-04,86189.17482857147
2024-03-05,84633.13482857148
2024-03-06,85907.09969285718
2024-03-07,85907.09969285718
2024-03-08,86052.07319285718
2024-03-11,86097.31079285718
2024-03-12,85242.3911428572
2024-03-13,85712.3911428572
2024-03-14,85292.5234428572
2024-03-15,83004.88344285719
2024-03-18,83302.29294285718
2024-03-19,83302.29294285718
2024-03-20,83302.29294285718
2024-03-21,84333.81294285718
2024-03-22,81235.63294285719
2024-03-25,81235.63294285719
2024-03-26,81155.55494285718
2024-03-27,80829.68875000003
2024-03-28,80829.68875000003
2024-04-01,80829.68875000003
2024-04-02,81123.17417857145
2024-04-03,80603.87417857145
2024-04-04,80198.05417857144
2024-04-05,80198.05417857144
2024-04-08,80198.05417857144
2024-04-09,80198.05417857144
2024-04-10,80375.18917857144
2024-04-11,81259.28465
2024-04-12,81700.18304999999
2024-04-15,81806.77733571429
2024-04-16,81412.19090714287
2024-04-17,80686.87090714286
2024-04-18,79853.24405714286
2024-04-19,79853.24405714286
2024-04-22,79853.24405714286
2024-04-23,79165.80405714286
2024-04-24,77767.54405714286
2024-04-25,76219.54405714286
2024-04-26,75158.30405714286
2024-04-29,72551.82405714285
2024-04-30,71677.74560714286
2024-05-01,69120.50560714286
2024-05-02,67723.40560714286
2024-05-03,65665.84560714287
2024-05-06,66383.76885714287
2024-05-07,65746.52885714287
2024-05-08,65379.33435714287
2024-05-09,61329.814357142866
2024-05-10,60237.861807142865
2024-05-13,60237.861807142865
2024-05-14,60575.29613914286
2024-05-15,60575.29613914286
2024-05-16,60575.29613914286
2024-05-17,60575.29613914286
2024-05-20,60480.48464964286
2024-05-21,61096.37464964286
2024-05-22,61184.30107821428
2024-05-23,61538.03047821428
2024-05-24,58997.15047821427
2024-05-28,58997.15047821427
2024-05-29,58683.40032821428
2024-05-30,59109.598978214286
2024-05-31,59499.41587821429
2024-06-03,59499.41587821429
2024-06-04,58624.215878214294
2024-06-05,58120.22302107143
2024-06-06,57166.263021071434
2024-06-07,57166.263021071434
2024-06-10,57548.93342107144
2024-06-11,57007.98132107144
2024-06-12,56802.72022107145
2024-06-13,56802.72022107145
2024-06-14,54673.56022107146
2024-06-17,54673.56022107146
2024-06-18,54782.955221071454
2024-06-20,54820.86542107145
2024-06-21,54075.51849250002
2024-06-24,53618.03289250002
2024-06-25,53768.262892500024
2024-06-26,51836.74289250003
2024-06-27,51024.338548500025
2024-06-28,51773.565998500024
2024-07-01,51773.565998500024
2024-07-02,52151.37666450002
2024-07-03,52151.37666450002
2024-07-05,52151.37666450002
2024-07-08,51768.45666450002
2024-07-09,52162.45595021431
2024-07-10,52162.45595021431
2024-07-11,51019.8717002143
2024-07-12,51159.2617002143
2024-07-15,51159.2617002143
