,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,99867.4
2024-01-25,99328.50214285713
2024-01-26,99328.50214285713
2024-01-29,99495.73568635713
2024-01-30,99438.05711492857
2024-01-31,100323.24507921429
2024-02-01,99906.02247921428
2024-02-02,99906.02247921428
2024-02-05,99634.19676492857
2024-02-06,99634.19676492857
2024-02-07,98780.29077921428
2024-02-08,98780.29077921428
2024-02-09,96256.3410792143
2024-02-12,96256.3410792143
2024-02-13,96550.4810792143
2024-02-14,96616.13907921429
2024-02-15,96616.13907921429
2024-02-16,95909.2716435
2024-02-20,96019.9916435
2024-02-21,96435.93878635716
2024-02-22,97398.99494350002
2024-02-23,98858.76219350002
2024-02-26,99217.36219350003
2024-02-27,100020.81238635717
2024-02-28,99300.58524350003
2024-02-29,99300.58524350003
2024-03-01,98802.04952921432
2024-03-04,98563.28952921432
2024-03-05,99711.30079350005
2024-03-06,100985.26565778576
2024-03-07,100985.26565778576
2024-03-08,101130.23915778575
2024-03-11,101175.47675778576
2024-03-12,102074.21612921433
2024-03-13,102544.21612921433
2024-03-14,102113.4770006429
2024-03-15,101559.50285778577
2024-03-18,101856.91235778577
2024-03-19,101856.91235778577
2024-03-20,101856.91235778577
2024-03-21,102888.43235778577
2024-03-22,102885.50818635721
2024-03-25,102885.50818635721
2024-03-26,104030.11018635721
2024-03-27,103704.24399350006
2024-03-28,103704.24399350006
2024-04-01,103704.24399350006
2024-04-02,103997.72942207148
2024-04-03,105130.04942207148
2024-04-04,104724.22942207148
2024-04-05,104724.22942207148
2024-04-08,104724.22942207148
2024-04-09,104724.22942207148
2024-04-10,104901.36442207148
2024-04-11,106241.17989350004
2024-04-12,106682.07829350003
2024-04-15,106788.67257921433
2024-04-16,106394.0861506429
2024-04-17,107856.31629350004
2024-04-18,107565.9165863572
2024-04-19,107565.9165863572
2024-04-22,107565.9165863572
2024-04-23,106957.24801492863
2024-04-24,107446.20291492864
2024-04-25,106355.75505778578
2024-04-26,105866.11220064292
2024-04-29,105743.62218635721
2024-04-30,106556.92138635722
2024-05-01,106439.5027077858
2024-05-02,108200.45553278581
2024-05-03,108911.21193278581
2024-05-06,109785.95118278581
2024-05-07,110010.98413278582
2024-05-08,111011.31298278582
2024-05-09,109510.40248992867
2024-05-10,110545.59163992867
2024-05-13,110545.59163992867
2024-05-14,110993.79474792867
2024-05-15,110993.79474792867
2024-05-16,110993.79474792867
2024-05-17,110993.79474792867
2024-05-20,110868.79034642866
2024-05-21,111681.76514642866
2024-05-22,111980.04893214293
2024-05-23,112442.97593214294
2024-05-24,112678.28433214295
2024-05-28,112678.28433214295
2024-05-29,113426.42447614296
2024-05-30,114392.87702614297
2024-05-31,114932.52647614297
2024-06-03,114932.52647614297
2024-06-04,113865.43147614297
2024-06-05,113176.18719042868
2024-06-06,112228.84466185725
2024-06-07,112228.84466185725
2024-06-10,112764.45306185725
2024-06-11,112104.3058047144
2024-06-12,113985.2746547144
2024-06-13,113985.2746547144
2024-06-14,113733.6746547144
2024-06-17,113733.6746547144
2024-06-18,113892.1051547144
2024-06-20,113947.57925471441
2024-06-21,112859.89832614298
2024-06-24,113567.25847614299
2024-06-25,113791.358476143
2024-06-26,114161.099176143
2024-06-27,113774.80740064301
2024-06-28,114956.725450643
2024-07-01,114956.725450643
2024-07-02,115542.983380643
2024-07-03,115542.983380643
2024-07-05,115542.983380643
2024-07-08,116433.22623778584
2024-07-09,117043.64766635727
2024-07-10,117043.64766635727
2024-07-11,116038.67853778583
2024-07-12,116259.38853778582
2024-07-15,116259.38853778582
