symbol,date,direction,conviction,route,entry_price,exit_price,qty,exit_reason,pnl,pnl_pct,gap_pct,vol_ratio
FCX,2024-01-24,long,normal,shares,39.18,38.93,510,eod,-132.6,-0.0066,6.49,2.39
RMD,2024-01-25,long,normal,shares,185.88,180.85357142857143,107,stop,-538.9,-0.0269,10.35,2.98
SOFI,2024-01-29,long,high,shares,8.86,8.9440955,2257,trail,167.23,0.0084,15.75,6.17
SLB,2024-01-30,short,high,shares,47.04,47.16571428571428,425,stop,-57.68,-0.0029,-8.12,3.68
TER,2024-01-31,short,high,shares,96.05,93.04714285714284,208,target,622.51,0.0311,-8.7,3.77
EW,2024-01-31,long,high,shares,75.2,76.20122142857143,265,stop,262.67,0.0131,5.22,3.02
ALGN,2024-02-01,long,high,shares,309.5,294.35177857142855,64,stop,-970.13,-0.0485,13.35,5.9
CHRW,2024-02-01,short,high,shares,74.52,73.36571428571428,268,target,306.67,0.0153,-7.81,5.97
AFL,2024-02-01,short,high,shares,77.17,76.20928571428571,259,stop,246.24,0.0123,-6.48,5.59
EL,2024-02-05,long,high,shares,150.43,148.3807142857143,132,stop,-271.83,-0.0136,18.89,4.06
SNAP,2024-02-07,short,high,shares,12.17,12.037899999999999,1643,trail,200.61,0.01,-31.06,6.92
RBLX,2024-02-07,long,high,shares,45.5835,43.18592857142857,438,stop,-1054.52,-0.0527,9.88,6.62
EXPE,2024-02-09,short,high,shares,132.37,133.65571428571428,151,stop,-195.65,-0.0098,-18.1,8.62
AFRM,2024-02-09,short,normal,shares,45.4,49.386764285714285,440,stop,-1758.58,-0.0879,-6.07,2.89
MHK,2024-02-09,short,normal,shares,103.11,108.73232857142858,193,stop,-1087.04,-0.0544,-3.67,2.59
DXCM,2024-02-09,short,normal,shares,125.0,121.75675714285714,160,target,517.32,0.0259,-3.19,2.09
ANET,2024-02-13,short,normal,shares,64.91,63.94499999999999,308,trail,294.14,0.0147,-8.19,2.82
UPST,2024-02-14,short,high,shares,28.32,28.217,706,trail,65.66,0.0033,-10.69,3.09
DASH,2024-02-16,short,high,shares,116.55,116.06116428571428,171,stop,81.88,0.0041,-11.4,5.51
COIN,2024-02-16,long,normal,shares,191.24,178.88273571428573,104,stop,-1286.2,-0.0643,14.11,2.79
DLR,2024-02-16,short,high,shares,133.51,130.1614285714286,149,target,497.45,0.0249,-5.79,3.2
WMT,2024-02-20,long,normal,shares,57.75,58.08,346,target,110.72,0.0055,4.77,4.06
EQT,2024-02-21,long,normal,shares,33.7,34.41142857142859,593,target,415.95,0.0208,4.72,2.58
RIVN,2024-02-22,short,high,shares,12.62,12.213571428571425,1584,target,627.94,0.0314,-22.16,5.8
MRNA,2024-02-22,long,normal,shares,93.25,94.82594999999999,214,trail,335.11,0.0168,4.88,3.23
RIVN,2024-02-23,short,normal,shares,11.17,10.469724999999999,1790,trail,1235.59,0.0618,-4.63,3.02
PANW,2024-02-23,long,normal,shares,135.38,136.915,147,trail,224.17,0.0112,3.41,2.37
DPZ,2024-02-26,long,high,shares,446.8,454.96,44,target,358.6,0.0179,6.77,4.48
NCLH,2024-02-27,long,high,shares,17.37,17.870014285714287,1151,target,564.01,0.0282,11.05,4.31
PANW,2024-02-27,long,normal,shares,159.25,161.17555,125,trail,239.44,0.012,4.83,2.66
EXR,2024-02-28,short,normal,shares,122.47,126.87857142857143,163,stop,-720.23,-0.036,-3.37,2.18
NTAP,2024-03-01,long,high,shares,101.05,100.26357142857144,197,stop,-156.9,-0.0078,18.81,8.25
HPE,2024-03-01,short,normal,shares,13.84,14.06642857142857,1445,stop,-341.64,-0.0171,-4.57,3.39
DECK,2024-03-04,long,normal,shares,157.31,155.44,127,eod,-238.76,-0.0119,2.87,2.16
TGT,2024-03-05,long,high,shares,151.28,151.9542857142857,132,target,87.69,0.0044,10.34,6.33
ALB,2024-03-05,short,high,shares,117.66,111.43684999999999,169,trail,1050.02,0.0525,-8.37,5.67
SOFI,2024-03-05,short,high,shares,7.86,7.845949999999999,2544,trail,10.3,0.0005,-5.94,4.47
CINF,2024-03-06,long,normal,shares,108.42,110.88285714285713,184,stop,451.33,0.0226,5.33,2.9
PNC,2024-03-06,short,normal,shares,144.25,141.75500000000002,138,stop,342.93,0.0171,-4.07,3.39
SWKS,2024-03-06,long,normal,shares,95.13,96.90428571428572,210,target,370.5,0.0185,3.56,3.06
DXCM,2024-03-06,long,normal,shares,125.59,126.28685,159,trail,109.21,0.0055,3.55,2.67
NVDA,2024-03-08,long,normal,shares,95.15,95.85035,210,trail,144.97,0.0072,2.67,2.04
BA,2024-03-11,short,normal,shares,193.3398,192.89059999999998,103,trail,45.24,0.0023,-2.16,2.24
LUV,2024-03-12,short,high,shares,29.24,28.003849999999996,683,trail,837.46,0.0419,-8.99,6.41
MMM,2024-03-12,long,high,shares,77.35,76.13642857142857,258,stop,-315.68,-0.0158,6.53,3.59
ADM,2024-03-12,long,normal,shares,53.29,53.39685,375,trail,36.32,0.0018,3.95,2.34
BA,2024-03-12,short,normal,shares,187.58,184.3564,106,eod,340.64,0.017,-2.21,2.75
GEHC,2024-03-13,short,normal,shares,86.52,88.19,231,eod,-388.08,-0.0194,-4.64,3.63
FCX,2024-03-13,long,normal,shares,40.29,42.03,496,eod,858.08,0.0429,2.94,2.45
DG,2024-03-14,long,high,shares,160.32,155.07071428571427,124,stop,-652.15,-0.0326,5.03,3.76
LEN,2024-03-14,short,normal,shares,141.63,140.04969999999997,141,trail,221.41,0.0111,-2.24,2.88
JBL,2024-03-15,short,high,shares,127.58,132.09357142857144,156,stop,-705.68,-0.0353,-12.7,7.68
ADBE,2024-03-15,short,high,shares,496.58,492.77742499999994,40,trail,151.7,0.0076,-12.41,4.75
RBLX,2024-03-18,short,normal,shares,37.71,37.13885,530,trail,297.41,0.0149,-3.37,2.06
ACN,2024-03-21,short,normal,shares,351.51,333.0799999999999,56,target,1031.52,0.0516,-4.32,4.96
LULU,2024-03-22,short,high,shares,410.8599,393.45459999999997,48,trail,834.97,0.0417,-13.07,15.39
FDX,2024-03-22,long,high,shares,278.26,271.2114285714286,71,stop,-501.16,-0.0251,7.99,4.56
NKE,2024-03-22,short,high,shares,88.4,89.88,226,eod,-336.74,-0.0168,-6.92,4.86
MKC,2024-03-26,long,high,shares,71.24,73.84571428571427,280,target,726.8,0.0363,7.03,3.26
STX,2024-03-26,long,normal,shares,90.74,92.6491,220,trail,417.8,0.0209,6.0,2.28
CTAS,2024-03-27,long,normal,shares,164.61,170.27695,121,trail,684.49,0.0342,3.97,3.39
CCL,2024-03-27,short,normal,shares,16.26,17.071428571428573,1230,stop,-1010.36,-0.0505,-2.48,3.82
CVS,2024-04-02,short,normal,shares,68.78,67.35539999999999,290,trail,410.23,0.0205,-5.89,2.65
PAYX,2024-04-02,short,normal,shares,108.35,111.02357142857142,184,stop,-493.78,-0.0247,-4.15,2.59
ELV,2024-04-02,short,normal,shares,490.07,480.6342857142857,40,target,377.03,0.0189,-2.34,2.11
ULTA,2024-04-03,short,high,shares,466.95,439.98,42,eod,1132.32,0.0566,-9.64,4.85
CAG,2024-04-04,long,normal,shares,27.71,27.15714285714286,721,stop,-405.82,-0.0203,6.95,2.75
TNA,2024-04-10,short,normal,shares,36.17,36.35,552,eod,-104.88,-0.0052,-7.5,2.07
KMX,2024-04-10,short,normal,shares,80.175,79.15,249,eod,252.73,0.0126,-3.44,2.07
REG,2024-04-10,short,normal,shares,54.52,54.43,366,eod,29.28,0.0015,-2.44,2.29
GL,2024-04-11,short,high,shares,96.11,89.87000000000002,208,target,1295.84,0.0648,-6.15,26.06
FAST,2024-04-11,short,normal,shares,34.52,33.7589,579,trail,434.89,0.0217,-3.21,3.04
STZ,2024-04-11,long,normal,shares,260.59,255.45642857142855,76,stop,-390.91,-0.0195,2.29,3.4
ANET,2024-04-12,short,normal,shares,69.65,69.5072,287,trail,38.11,0.0019,-5.5,2.33
ZTS,2024-04-12,short,normal,shares,150.48,147.4186,132,trail,402.78,0.0201,-4.23,3.47
GS,2024-04-15,long,normal,shares,395.06,382.9442857142857,50,stop,-606.29,-0.0303,4.49,2.9
MTB,2024-04-15,long,normal,shares,131.33,136.03,152,target,712.88,0.0356,4.0,2.56
